5.254.192.0,5.254.223.255,8192,14/09/12,
41.86.32.0,41.86.63.255,8192,06/05/10,
41.203.240.0,41.203.255.255,4096,28/12/07,
41.220.96.0,41.220.111.255,4096,07/06/06,
165.231.0.0,165.231.255.255,65536,01/01/95,
196.48.0.0,196.48.255.255,65536,15/09/97,
196.56.0.0,196.56.255.255,65536,23/08/09,
196.57.0.0,196.57.255.255,65536,23/08/09,
196.58.0.0,196.58.255.255,65536,23/08/09,
196.59.0.0,196.59.255.255,65536,23/08/09,
196.196.0.0,196.196.255.255,65536,21/11/12,
196.197.0.0,196.197.255.255,65536,19/08/96,
196.198.0.0,196.198.255.255,65536,19/08/96,
196.199.0.0,196.199.255.255,65536,14/12/12,
196.240.0.0,196.241.255.255,131072,11/11/08,
196.242.0.0,196.243.255.255,131072,11/11/08,
196.244.0.0,196.244.255.255,65536,11/11/08,
196.245.0.0,196.245.255.255,65536,11/11/08,
196.247.0.0,196.247.255.255,65536,11/11/08,
197.157.96.0,197.157.127.255,8192,13/03/12,
197.158.192.0,197.158.255.255,16384,31/05/12,

