41.87.96.0,41.87.127.255,8192,16/08/10,
41.136.0.0,41.136.255.255,65536,05/02/09,
41.206.96.0,41.206.127.255,8192,05/11/12,
41.207.128.0,41.207.159.255,8192,26/04/06,
41.211.64.0,41.211.95.255,8192,17/05/07,
41.212.128.0,41.212.255.255,32768,29/08/06,
105.235.144.0,105.235.159.255,4096,23/11/12,
196.20.128.0,196.20.255.255,32768,09/07/07,
196.22.144.0,196.22.159.255,4096,12/08/05,
196.27.64.0,196.27.95.255,8192,08/12/05,
196.46.32.0,196.46.63.255,8192,06/12/05,
196.192.0.0,196.192.15.255,4096,05/11/03,
196.192.96.0,196.192.111.255,4096,15/02/05,
196.207.48.0,196.207.63.255,4096,03/09/05,
197.224.0.0,197.227.255.255,262144,07/04/10,
197.255.64.0,197.255.127.255,16384,14/12/10,
202.123.0.0,202.123.31.255,8192,12/05/00,

