5.2.128.0,5.2.255.255,32768,27/04/12,RCS & RDS SA
5.12.0.0,5.15.255.255,262144,27/04/12,RCS & RDS SA
5.41.0.0,5.41.255.255,65536,16/05/12,Corvin Telecom SRL
5.42.160.0,5.42.191.255,8192,18/05/12,SENSITIVE LINE S.R.L.
5.83.32.0,5.83.47.255,4096,14/06/12,Millennium IT SRL
5.107.0.0,5.107.255.255,65536,29/06/12,S.C. GVM SISTEM 2003 S.R.L.
5.154.0.0,5.155.255.255,131072,19/07/12,SISTEM SOFT NETWORK SRL
5.156.0.0,5.156.255.255,65536,19/07/12,Bitspace SRL
5.157.128.0,5.157.255.255,32768,24/07/12,SC RoSite Equipment SRL
5.163.0.0,5.163.255.255,65536,30/07/12,VisNetwork Media S.R.L.
5.192.0.0,5.195.255.255,262144,22/08/12,SC AD NET MARKET MEDIA S.A.
5.254.0.0,5.254.127.255,32768,13/09/12,Globalcity Telecom S.R.L.
31.2.128.0,31.2.255.255,32768,05/04/11,NETSERV CONSULT SRL
31.14.0.0,31.14.255.255,65536,18/04/11,Jump Internet Services SRL
31.42.128.0,31.42.159.255,8192,18/02/11,
31.132.80.0,31.132.95.255,4096,20/06/11,
31.173.0.0,31.173.255.255,65536,04/04/11,VisNetwork Media S.R.L.
31.215.0.0,31.215.255.255,65536,06/05/11,SC AD NET MARKET MEDIA S.A.
37.25.128.0,37.25.255.255,32768,23/12/11,NETCLASS SRL
37.35.32.0,37.35.63.255,8192,05/01/12,SC RoSite Equipment SRL
37.35.128.0,37.35.255.255,32768,05/01/12,SC RoSite Equipment SRL
37.42.0.0,37.43.255.255,131072,04/01/12,SC AD NET MARKET MEDIA S.A.
37.56.0.0,37.56.255.255,65536,13/01/12,VisNetwork Media S.R.L.
37.60.224.0,37.60.255.255,8192,20/01/12,S.C. Profisol Telecom S.R.L.
37.97.0.0,37.97.255.255,65536,02/02/12,S.C. GVM SISTEM 2003 S.R.L.
37.120.0.0,37.120.255.255,65536,13/02/12,Secure Data Systems SRL
37.128.224.0,37.128.239.255,4096,21/02/12,Agentia pentru Administrarea Retelei de Informatica pentru Educatie si Cercetare
37.129.0.0,37.129.255.255,65536,20/02/12,
37.143.160.0,37.143.175.255,4096,02/03/12,OPTICNET - SERV S.R.L.
37.148.0.0,37.148.127.255,32768,02/03/12,OPTICNET - SERV S.R.L.
37.153.128.0,37.153.191.255,16384,13/03/12,Jump Internet Services SRL
37.156.0.0,37.156.255.255,65536,13/03/12,Jump Internet Services SRL
37.202.128.0,37.202.255.255,32768,23/03/12,OPTICNET - SERV S.R.L.
37.216.0.0,37.217.255.255,131072,30/03/12,S.C. GVM SISTEM 2003 S.R.L.
37.221.160.0,37.221.175.255,4096,05/04/12,Voxility S.R.L.
37.224.0.0,37.224.255.255,65536,05/04/12,VisNetwork Media S.R.L.
37.251.128.0,37.251.255.255,32768,18/04/12,CLAX TELECOM SRL
46.20.128.0,46.20.143.255,4096,29/09/10,Direct One SA
46.34.192.0,46.34.223.255,8192,28/09/10,Prime Telecom srl
46.41.192.0,46.41.255.255,16384,27/07/10,Architecture Iq Data S.R.L.
46.42.192.0,46.42.255.255,16384,06/08/10,NETCLASS SRL
46.49.128.0,46.49.255.255,32768,13/07/10,VisNetwork Media S.R.L.
46.51.0.0,46.51.127.255,32768,27/07/10,NETSERV CONSULT SRL
46.62.128.0,46.62.255.255,32768,01/11/10,Architecture Iq Data S.R.L.
46.97.0.0,46.97.255.255,65536,31/05/10,Vodafone Romania S.A.
46.102.0.0,46.102.255.255,65536,25/06/10,
46.108.0.0,46.108.255.255,65536,21/07/10,SC AD NET MARKET MEDIA S.A.
46.149.0.0,46.149.15.255,4096,06/12/10,
46.173.240.0,46.173.255.255,4096,14/02/11,
46.190.128.0,46.190.255.255,32768,09/12/10,NETCLASS SRL
46.214.0.0,46.214.255.255,65536,21/12/10,NEXTGEN COMMUNICATIONS SRL
62.216.64.0,62.216.95.255,8192,25/03/10,SC RoSite Equipment SRL
62.217.192.0,62.217.255.255,16384,07/02/03,Orange Romania S.A.
62.231.64.0,62.231.127.255,16384,23/11/01,RCS & RDS SA
77.36.0.0,77.36.127.255,32768,08/03/07,S.C. GVM SISTEM 2003 S.R.L.
77.81.0.0,77.81.255.255,65536,15/02/07,Jump Internet Services SRL
77.93.160.0,77.93.191.255,8192,18/05/07,Prime Telecom srl
77.104.128.0,77.104.191.255,16384,04/06/10,S.C. Profisol Telecom S.R.L.
77.232.192.0,77.232.223.255,8192,14/12/06,S.C. GVM SISTEM 2003 S.R.L.
78.95.0.0,78.95.255.255,65536,30/07/07,Media Trend Sistem SRL
78.96.0.0,78.97.255.255,131072,25/04/07,UPC Romania SRL
79.112.0.0,79.119.255.255,524288,29/05/07,RCS & RDS SA
80.74.48.0,80.74.63.255,4096,10/02/05,Atlas Telecom Network Romania S.R.L.
80.86.96.0,80.86.111.255,4096,20/08/01,iNES GROUP SRL
